publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2023p217815,earthquake,2023-03-22T14:11:51.715Z,2023-03-22T14:16:12.019Z,176.6757507,-38.09701157,2.187163906,2.920753717,MLv,,LOCSAT,confirmed,manual,iasp91,32,28,12,0.02969658747,63.45249176,0.4160993993,0.2459410087
2023p217787,earthquake,2023-03-22T13:57:25.830Z,2023-03-22T14:01:29.889Z,176.749115,-38.04107285,1.541392678,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,19,13,5,0.05276081711,122.4499359,0.4131314613,0.2970367041
2023p217699,earthquake,2023-03-22T13:10:28.102Z,2023-03-22T13:18:13.144Z,176.6781769,-38.09396362,2.390733475,4.5767169,MLv,,LOCSAT,confirmed,manual,iasp91,22,15,19,0.0266741477,52.16078186,0.2259645651,0.1966593549
2023p217639,earthquake,2023-03-22T12:38:04.636Z,2023-03-22T12:42:46.940Z,176.683548,-38.10905075,2.260348943,5.391458988,MLv,,LOCSAT,confirmed,manual,iasp91,22,14,12,0.03259497136,54.72816467,0.2341267758,0.3132077812
2023p217626,earthquake,2023-03-22T12:31:36.264Z,2023-03-22T14:06:52.433Z,176.7555542,-38.06594467,2.577007908,3.871225834,MLv,,LOCSAT,confirmed,manual,iasp91,36,29,27,0.04050789773,57.99343109,0.2743292276,0.2344889891
2023p217608,earthquake,2023-03-22T12:21:36.586Z,2023-03-22T12:25:22.365Z,176.7292786,-38.05335617,1.835903136,5.370055676,MLv,,LOCSAT,confirmed,manual,iasp91,22,14,8,0.03399286419,115.8515015,0.4177180812,0.2465794609
2023p217503,earthquake,2023-03-22T11:25:58.330Z,2023-03-22T11:33:51.109Z,176.6796722,-38.09285355,2.427587749,5.458831787,MLv,,LOCSAT,confirmed,manual,iasp91,24,16,16,0.02516113408,91.6411438,0.2619810091,0.2768022583
2023p217381,earthquake,2023-03-22T10:21:03.108Z,2023-03-22T14:19:37.420Z,176.6394501,-38.08041,1.232126598,4.574270248,MLv,,LOCSAT,confirmed,manual,iasp91,13,8,3,0.09930963814,99.52216148,0.300023712,0.06448433271
2023p217306,earthquake,2023-03-22T09:41:14.215Z,2023-03-22T09:50:31.139Z,176.7519379,-38.060215,2.132361926,3.862576246,MLv,,LOCSAT,confirmed,manual,iasp91,21,15,9,0.04091599211,118.7933578,0.306397141,0.2153376148
2023p217293,earthquake,2023-03-22T09:34:18.958Z,2023-03-22T09:41:10.697Z,176.6906128,-38.09083176,1.708804795,7.503224373,MLv,,LOCSAT,confirmed,manual,iasp91,20,12,5,0.01644842513,70.42286301,0.2181664746,0.1699043242
2023p217263,earthquake,2023-03-22T09:18:04.396Z,2023-03-22T09:26:08.027Z,176.6834412,-38.09351349,2.060640815,6.119874477,MLv,,LOCSAT,confirmed,manual,iasp91,23,15,11,0.02270772494,67.57661057,0.2584248974,0.244856486
2023p217235,earthquake,2023-03-22T09:03:18.334Z,2023-03-22T18:14:54.288Z,176.6923523,-38.10592651,1.997591863,4.946185112,MLv,,LOCSAT,confirmed,manual,iasp91,21,15,5,0.02606187388,49.20648193,0.2668339829,0.187168947
2023p217224,earthquake,2023-03-22T08:57:30.907Z,2023-03-22T09:07:14.184Z,176.6867065,-38.10392761,1.727665309,4.442784786,MLv,,LOCSAT,confirmed,manual,iasp91,25,20,5,0.02707035467,68.21067429,0.2669699797,0.2446259641
2023p217216,earthquake,2023-03-22T08:53:11.478Z,2023-03-22T18:05:15.178Z,176.6477814,-38.10459518,2.551909316,3.952463388,MLv,,LOCSAT,confirmed,manual,iasp91,32,28,25,0.05289719999,40.93391418,0.2166347245,0.2153234092
2023p217210,earthquake,2023-03-22T08:49:56.449Z,2023-03-22T08:58:44.747Z,176.6499176,-38.10334396,1.745066415,4.881633282,MLv,,LOCSAT,confirmed,manual,iasp91,27,19,6,0.05085643008,57.70529079,0.2931486393,0.1530944755
2023p217074,earthquake,2023-03-22T07:37:21.247Z,2023-03-22T08:56:47.363Z,176.7562408,-38.06452942,2.137727608,4.035680771,MLv,,LOCSAT,confirmed,manual,iasp91,28,23,15,0.04162151739,58.34992218,0.2763712614,0.150991318
2023p217070,earthquake,2023-03-22T07:35:03.080Z,2023-03-22T07:41:06.961Z,176.6768799,-38.07884979,1.849039697,3.014692545,MLv,,LOCSAT,confirmed,manual,iasp91,20,16,9,0.02599653788,101.3847198,0.2956032233,0.2310487002
2023p217007,earthquake,2023-03-22T07:01:32.299Z,2023-03-22T07:46:07.179Z,176.7622223,-38.03225708,1.955729726,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,22,19,7,0.06606651843,94.60588837,0.2424327081,0.2928776607
2023p216960,earthquake,2023-03-22T06:36:28.799Z,2023-03-22T06:56:01.432Z,176.6934204,-38.10413742,1.851279526,3.002537727,MLv,,LOCSAT,confirmed,manual,iasp91,31,20,8,0.02409709245,44.75274658,0.3544316609,0.2897995471
2023p216901,earthquake,2023-03-22T06:05:21.181Z,2023-03-22T06:19:35.056Z,176.6856232,-38.10411072,1.842430039,2.563888311,MLv,,LOCSAT,confirmed,manual,iasp91,21,18,8,0.02777552977,46.4002037,0.3940235495,0.2296731231
2023p216773,earthquake,2023-03-22T04:56:51.063Z,2023-03-22T05:02:13.042Z,176.7523956,-38.04069901,1.980079041,3.675844431,MLv,,LOCSAT,confirmed,manual,iasp91,23,18,9,0.05463511124,82.24673843,0.4034058224,0.23715263
2023p216547,earthquake,2023-03-22T02:56:28.016Z,2023-03-22T03:07:24.024Z,176.6804504,-38.09212494,2.142134508,4.674644947,MLv,,LOCSAT,confirmed,manual,iasp91,28,22,12,0.02432548627,71.74755096,0.3655163765,0.1790291801
2023p216544,earthquake,2023-03-22T02:54:54.479Z,2023-03-22T03:05:40.459Z,176.6712341,-38.10566711,1.887344262,3.725212812,MLv,,LOCSAT,confirmed,manual,iasp91,29,20,9,0.0372915566,46.35137939,0.3924513038,0.2879061206
2023p216511,earthquake,2023-03-22T02:37:32.240Z,2023-03-22T02:41:24.140Z,176.761795,-38.05833817,2.683476303,2.971437216,MLv,,LOCSAT,confirmed,manual,iasp91,31,24,24,0.04846752435,60.13235474,0.2118870067,0.1997426971
2023p216460,earthquake,2023-03-22T02:10:08.407Z,2023-03-22T02:21:24.437Z,176.7132416,-38.05705261,2.118428742,4.193800449,MLv,,LOCSAT,confirmed,manual,iasp91,21,15,3,0.0266029425,69.86999512,0.3426573416,0.0931014961
2023p216399,earthquake,2023-03-22T01:37:48.143Z,2023-03-22T02:20:50.892Z,176.6806488,-38.10321808,2.196000358,4.362688065,MLv,,LOCSAT,confirmed,manual,iasp91,34,26,12,0.02996015362,45.52681351,0.4209932858,0.2372168862
2023p216395,earthquake,2023-03-22T01:35:17.311Z,2023-03-22T01:48:12.124Z,176.6880188,-38.10368729,2.376640269,4.52796936,MLv,,LOCSAT,confirmed,manual,iasp91,31,25,19,0.02621560358,44.88528442,0.4759743657,0.238003153
2023p216381,earthquake,2023-03-22T01:28:10.152Z,2023-03-22T01:57:51.026Z,176.7474823,-38.04660034,2.433444766,3.818592548,MLv,,LOCSAT,confirmed,manual,iasp91,38,28,20,0.04761359841,80.45131302,0.4738375582,0.1060805338
2023p216367,earthquake,2023-03-22T01:20:39.856Z,2023-03-22T01:31:41.842Z,176.7653656,-38.03675079,1.661601784,4.075054646,MLv,,LOCSAT,confirmed,manual,iasp91,22,16,6,0.06433612853,83.51012802,0.2960174844,0.1932178379
2023p216259,earthquake,2023-03-22T00:23:13.498Z,2023-03-22T00:50:44.287Z,176.7514648,-38.05463791,1.906243242,4.410075188,MLv,,LOCSAT,confirmed,manual,iasp91,13,9,7,0.0440370217,119.8764496,0.14319112,0.1693608955
2023p216254,earthquake,2023-03-22T00:20:47.654Z,2023-03-22T00:44:03.911Z,176.7465515,-38.02082062,1.968276374,4.013245106,MLv,,LOCSAT,confirmed,manual,iasp91,14,10,5,0.0671293214,126.7099152,0.1029654491,0.185804113
2023p216198,earthquake,2023-03-21T23:50:17.861Z,2023-03-22T00:28:09.926Z,176.6906891,-38.09091187,2.018966919,6.855076313,MLv,,LOCSAT,confirmed,manual,iasp91,17,12,5,0.01643029228,70.10680008,0.2966126187,0.2641616771
2023p216191,earthquake,2023-03-21T23:46:45.820Z,2023-03-21T23:57:06.690Z,176.6890411,-38.10955048,1.814905006,2.994733095,MLv,,LOCSAT,confirmed,manual,iasp91,17,13,3,0.03050995991,67.48284912,0.3567638559,0.1936181356
2023p216176,earthquake,2023-03-21T23:39:12.631Z,2023-03-21T23:52:55.319Z,176.7542725,-38.04827499,2.122742355,4.281881809,MLv,,LOCSAT,confirmed,manual,iasp91,25,20,13,0.04998451844,108.3857803,0.3867352597,0.1994536783
2023p216105,earthquake,2023-03-21T23:01:09.188Z,2023-03-21T23:43:27.616Z,176.6978912,-38.10337448,1.927348784,3.380305529,MLv,,LOCSAT,confirmed,manual,iasp91,17,12,4,0.1196659356,88.9935379,0.2218081257,0.2499159521
2023p216089,earthquake,2023-03-21T22:52:23.109Z,2023-03-21T23:38:14.564Z,176.6942596,-38.11226654,2.099748271,2.034019232,MLv,,LOCSAT,confirmed,manual,iasp91,27,20,11,0.03105759993,57.13700294,0.2770905806,0.2395652769
2023p216086,earthquake,2023-03-21T22:50:59.675Z,2023-03-22T00:20:49.047Z,176.6877594,-38.08638763,2.332475856,6.8556633,MLv,,LOCSAT,confirmed,manual,iasp91,23,19,19,0.04532488063,87.31723785,0.2695031281,0.2137164414
2023p216081,earthquake,2023-03-21T22:48:15.042Z,2023-03-21T23:51:11.811Z,176.6844177,-38.10001373,3.135003192,4.624002457,M,,LOCSAT,confirmed,manual,iasp91,31,25,27,0.02562117763,52.92635727,0.3222730376,0
2023p216045,earthquake,2023-03-21T22:28:56.254Z,2023-03-21T23:34:08.829Z,176.6729889,-38.10586548,2.867280034,4.360558987,MLv,,LOCSAT,confirmed,manual,iasp91,40,30,27,0.03630746901,43.13050234,0.3332517076,0.1851214434
2023p216028,earthquake,2023-03-21T22:19:47.915Z,2023-03-22T00:20:58.169Z,176.697998,-38.05498505,2.203094626,5.344937801,ML,,LOCSAT,confirmed,manual,iasp91,23,17,12,0.02984531038,62.55246353,0.3915644986,0.3747802504
2023p215895,earthquake,2023-03-21T21:09:23.453Z,2023-03-21T22:18:52.727Z,176.671814,-38.08852768,2.3781751,4.536989689,M,,LOCSAT,confirmed,manual,iasp91,33,24,19,0.02999211289,79.1443404,0.3174360957,0
